ID,Salary,DOJ,DOL,Original Designation,Designation,Domain,JobCity,Gender,DOB,10percentage,10board,12graduation,12percentage,12board,CollegeID,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityID,CollegeCityTier,CollegeState,GraduationYear,English,Logical,Quant,DomainScore,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience
652269,180000.00,12/1/13 0:00,5/1/14 0:00,lecturer,lecturer,Education,Chennai,m,12/27/91 0:00,76,icse,2009,74,cbse,13375,2,B.Tech/B.E.,civil engineering,77,13375,0,Tamil Nadu,2013,475,500,500,0.839686084,0,0,0,0,0,0,433,-0.4463,0.2124,-1.527,-0.4879,-0.6692
632267,80000.00,5/1/14 0:00,2/1/15 0:00,software developer,software engineer,Engineering,Bhubaneshwar,f,1/2/92 0:00,75,cbse,2009,73,cbse,9786,2,B.Tech/B.E.,electronics engineering,65,9786,0,Orissa,2013,360,415,255,0,0,0,0,0,0,0,0,1.2772,-0.1206,-1.3733,-0.4879,0.8637
1122901,245000.00,6/1/13 0:00,4/1/15 0:00,android developer,software engineer,Engineering,NCR,m,4/11/89 0:00,66.67,state board,2006,76,state board,70,2,B.Tech/B.E.,electronics engineering,73.46,70,0,Uttar Pradesh,2012,735,580,570,0,0,0,0,0,0,0,0,0.1282,-0.4536,-1.2196,-1.2486,-2.0105
946109,180000.00,3/1/14 0:00,,civil engineer,civil engineer,Engineering,Ahmedabad,m,10/10/92 0:00,79.2,state board,2010,73.2,state board,13388,2,B.Tech/B.E.,civil engineering,78.3,13388,0,Madhya Pradesh,2014,345,315,575,0.255778194,0,0,0,0,0,0,292,-0.5899,-2.4516,-1.2196,0.9066,-1.4356
453953,480000.00,8/1/10 0:00,,application engineer,software engineer,Engineering,Mumbai,m,9/24/85 0:00,69.33,,2004,56,,5086,2,B.Tech/B.E.,mechanical engineering,68.56,5086,0,Karnataka,2010,485,485,285,0,0,0,0,0,0,0,0,-0.3014,-1.0593,-1.2148,-0.7015,-0.9194
280764,145000.00,6/1/11 0:00,8/1/13 0:00,sales executive,sales executive,Sales,NCR,f,3/26/90 0:00,82.2,cbse,2007,72.3,cbse,57,2,B.Tech/B.E.,biomedical engineering,63.4,57,0,Haryana,2011,595,505,455,0,0,0,0,0,0,0,0,-1.0355,-0.1232,-1.2148,0.0623,0.3444
510169,240000.00,8/1/12 0:00,9/1/14 0:00,software engineer,software engineer,Engineering,,m,12/15/88 0:00,85,icse,2007,80,icse,4234,2,B.Tech/B.E.,computer science,68.04,4234,0,Uttar Pradesh,2012,650,485,720,0.111660963,0,0,0,0,0,0,0,0.8192,-0.4353,-1.2148,0.6498,-0.2875
496538,265000.00,9/1/11 0:00,,programmer,software engineer,Engineering,NCR,f,8/16/90 0:00,71,cbse,2007,70,cbse,58,2,B.Tech/B.E.,computer science,74,58,0,Haryana,2011,495,635,375,0,0,0,0,0,0,0,0,-1.6924,1.1248,-1.2148,1.0611,-0.1295
338130,325000.00,2/1/13 0:00,1/1/14 0:00,systems engineer,system engineer,Engineering,,m,9/13/90 0:00,76,cbse,2008,78,cbse,569,2,B.Tech/B.E.,biomedical engineering,77.8,569,0,Tamil Nadu,2012,575,455,525,0.86613982,0,0,0,0,0,0,0,-1.1901,-0.0842,-1.0334,-0.05527,-0.7615
308391,700000.00,8/1/12 0:00,8/1/15 0:00,business analyst,business analyst,Business,Banagalore,m,9/22/88 0:00,91,state board,2006,95,state board,8799,2,B.Tech/B.E.,computer science,74.5,8799,0,Tamil Nadu,2010,515,595,375,0,0,0,0,0,0,0,0,0.2009,1.2808,-0.9245,-1.7004,-0.7615
1274522,325000.00,10/1/14 0:00,12/1/15 0:00,software engineer,software engineer,Engineering,NCR,m,3/31/92 0:00,70,icse,2010,65,cbse,1139,2,B.Tech/B.E.,information technology,66,1139,0,Chhattisgarh,2014,405,470,545,0,0,0,0,0,0,0,0,0.4155,0.3789,-0.9122,-1.1218,-0.8608
1082543,215000.00,8/1/14 0:00,4/1/15 0:00,technical recruiter,recruiter,HR,NCR,m,1/15/91 0:00,74,icse,2009,66,icse,6814,2,B.Tech/B.E.,electronics engineering,62,6814,0,West Bengal,2014,720,400,405,0.600643959,0,0,0,0,0,0,0,0.1282,0.7119,-0.9122,-1.1218,-0.8608
1169576,200000.00,10/1/13 0:00,3/1/15 0:00,embedded software engineer,software engineer,Engineering,,m,7/29/91 0:00,69,state board,2009,87.2,state board,7946,2,B.Tech/B.E.,electronics engineering,61,7946,0,Andhra Pradesh,2013,360,435,405,0,0,0,0,0,0,0,0,-0.8772,-1.6191,-0.9122,1.0333,-2.7769
1095963,300000.00,8/1/14 0:00,,design engineer,design engineer,UX/UI Design,Ranchi,m,10/29/92 0:00,82.87,state board,2010,60.42,state board,6884,2,B.Tech/B.E.,civil engineering,67.77,6884,0,West Bengal,2014,420,400,545,0.255778194,0,0,0,0,0,0,292,-0.4463,-1.1196,-0.9122,1.1601,-2.2021
542353,180000.00,6/1/13 0:00,6/1/14 0:00,software engineer,software engineer,Engineering,NCR,m,8/30/89 0:00,58.2,cbse,2009,67.6,cbse,350,2,B.Tech/B.E.,information technology,56.1,350,0,Uttar Pradesh,2013,555,605,385,0,0,0,0,0,0,0,0,-1.4992,0.7348,-0.8157,-0.1727,-0.9194
542590,260000.00,1/1/14 0:00,4/1/15 0:00,linux systems administrator,system administrator,Engineering,NCR,m,5/20/93 0:00,73,,2008,62,,350,2,B.Tech/B.E.,electronics engineering,75,350,0,Uttar Pradesh,2013,325,390,560,0,0,0,0,0,0,0,0,0.6646,-0.2793,-0.7794,-0.8778,-0.2875
144911,530000.00,4/1/10 0:00,,hr manager,hr manager,HR,NCR,m,12/31/87 0:00,63,state board,2005,55,state board,933,2,MCA,computer application,66,933,0,Haryana,2011,355,295,465,0,0,0,0,0,0,0,0,-0.3014,-0.4353,-0.7794,0.8848,-1.3934
434621,95000.00,10/1/12 0:00,10/1/13 0:00,software developer,software engineer,Engineering,NCR,m,2/1/92 0:00,69.6,state board,2008,71.4,state board,3054,2,B.Tech/B.E.,computer science,77,3054,0,Orissa,2012,485,415,575,0.925645767,0,0,0,0,0,0,0,-0.4173,0.6568,-0.7794,1.7074,0.1864
1171988,320000.00,4/1/14 0:00,,programmer analyst,programmer analyst,Tech,,f,10/7/91 0:00,90,state board,2009,91.8,state board,631,2,B.Tech/B.E.,electronics engineering,75,631,0,Kerala,2013,560,520,390,0,0,0,0,0,0,0,0,0.5591,0.2124,-0.7585,0.3995,0.6721
313158,520000.00,12/1/11 0:00,8/1/14 0:00,oracle dba,database administrator,Tech,NCR,m,2/5/91 0:00,69.5,state board,2008,64.4,state board,96,2,MCA,computer application,68,96,0,Sikkim,2013,435,575,415,0,0,0,0,0,0,0,0,0.9737,0.6178,-0.7068,-0.17277,0.3444
344605,460000.00,10/1/12 0:00,4/1/15 0:00,system engineer,system engineer,Engineering,Banagalore,m,3/5/91 0:00,88.4,,2008,76,,124,2,B.Tech/B.E.,computer science,79.6,124,0,Orissa,2012,395,345,595,0,0,0,0,0,0,0,0,-0.6491,0.1888,-0.6343,1.67803,-0.2875
942616,160000.00,7/1/10 0:00,11/1/11 0:00,assistant manager,assistant manager,Management,Banagalore,m,9/5/87 0:00,87.8,state board,2005,83.8,state board,10726,2,B.Tech/B.E.,computer science,80,10726,0,Tamil Nadu,2010,310,535,470,0,0,0,0,0,0,0,0,0.4034,0.4934,-0.6339,-1.3255,0.7631
1122706,110000.00,11/1/14 0:00,4/1/15 0:00,trainee engineer,trainee engineer,Engineering,,m,5/31/91 0:00,76.2,cbse,2009,65.2,cbse,3449,2,B.Tech/B.E.,computer science,69.1,3449,0,Madhya Pradesh,2013,580,555,585,0,0,0,0,0,0,0,0,0.1282,-0.6201,-0.6048,-0.8682,-0.4776
1226693,350000.00,2/1/15 0:00,,front end developer,software engineer,UX/UI Design,NCR,f,8/12/93 0:00,92,cbse,2011,85.6,cbse,115,2,B.Tech/B.E.,computer science,91,115,0,Punjab,2015,535,480,605,0,0,0,0,0,0,0,0,-1.1644,0.7119,-0.6048,-0.3612,0.6721
1269538,190000.00,9/1/14 0:00,5/1/15 0:00,java software engineer,software engineer,Engineering,Kolkata,m,11/22/90 0:00,79.06,state board,2008,76,state board,16201,2,B.Tech/B.E.,computer science,70.14,16201,0,Maharashtra,2012,630,570,535,0,0,0,0,0,0,0,0,-0.3027,0.2124,-0.6048,0.1459,-0.4776
918911,180000.00,7/1/14 0:00,4/1/15 0:00,telecom engineer,telecom engineer,Engineering,,m,6/24/92 0:00,80.2,cbse,2010,69.8,cbse,76,2,B.Tech/B.E.,electronics engineering,69.7,76,0,Uttar Pradesh,2014,615,570,415,0,0,0,0,0,0,0,0,-1.0208,-0.4536,-0.6048,1.4136,0.2889
542424,215000.00,9/1/14 0:00,,design engineer,design engineer,UX/UI Design,Daman and Diu,m,1/8/92 0:00,78.66,state board,2008,70.6,state board,350,2,B.Tech/B.E.,electronics engineering,74.96,350,0,Uttar Pradesh,2013,415,485,530,0,0,0,0,0,0,0,0,-0.4173,0.1498,-0.598,0.6498,0.1864
622430,350000.00,8/1/13 0:00,4/1/15 0:00,business development manager,business development manager,Business,Bathinda,m,8/8/89 0:00,63,cbse,2007,61,cbse,272,2,B.Tech/B.E.,biomedical engineering,61,272,0,Punjab,2011,555,435,475,0,0,0,0,0,0,0,0,-0.7335,-0.4536,-0.4511,-0.8682,0.2889
1149846,315000.00,3/1/14 0:00,2/1/15 0:00,software test engineer,test engineer,Engineering,Pune,m,5/10/92 0:00,80,state board,2009,81,state board,16097,2,B.Tech/B.E.,information technology,67,16097,0,Andhra Pradesh,2013,475,435,370,0,0,0,0,0,0,0,0,0.4155,0.8784,-0.4511,-0.6147,1.4386
614115,350000.00,4/1/14 0:00,4/1/15 0:00,product manager,product manager,Management,Banagalore,m,8/14/92 0:00,82.6,cbse,2009,68.4,cbse,272,2,B.Tech/B.E.,electronics engineering,72,272,0,Punjab,2013,570,500,590,0,0,0,0,0,0,0,0,0.99,-0.6201,-0.4511,0.3995,-1.0524
1253724,300000.00,6/1/15 0:00,,software engineer,software engineer,Engineering,Pune,m,10/29/92 0:00,90.15,state board,2011,83.33,state board,10581,2,B.Tech/B.E.,civil engineering,81,10581,0,Maharashtra,2015,395,510,415,0.536782667,0,0,0,0,0,0,356,-0.5899,-1.2861,-0.4511,0.653,-0.8608
341114,700000.00,4/1/14 0:00,,assistant manager,assistant manager,Management,Pune,f,2/16/90 0:00,82.5,icse,2008,72.4,state board,127,2,B.Tech/B.E.,civil engineering,64.8,127,0,Maharashtra,2012,665,655,635,0.858826695,0,0,0,0,0,0,440,0.8192,0.6568,-0.344,-0.40777,0.5419
540835,700000.00,10/1/12 0:00,,technical support engineer,technical support engineer,Engineering,Banagalore,f,8/1/89 0:00,73,cbse,2007,68,cbse,7784,2,B.Tech/B.E.,information technology,78,7784,0,Uttar Pradesh,2012,475,500,415,0,0,0,0,0,0,0,0,0.9737,0.0328,-0.344,-0.1727,-0.0506
261537,430000.00,3/1/12 0:00,4/1/15 0:00,software engineer,software engineer,Engineering,NCR,f,12/25/89 0:00,82,cbse,2007,73,cbse,6874,2,B.Tech/B.E.,electrical engineering,63,6874,0,Uttarakhand,2011,485,355,555,0,0,0,0,0,0,0,0,0.0464,-0.2793,-0.344,-0.1727,-0.4455
920332,230000.00,1/1/14 0:00,,software engineer,software engineer,Engineering,NCR,m,9/3/91 0:00,60.7,state board,2008,65.66,state board,55,2,MCA,computer application,77.7,55,0,Uttar Pradesh,2014,545,535,470,0,0,0,0,0,0,0,0,0.1282,1.0449,-0.2974,-0.995,0.4805
1269533,120000.00,1/1/14 0:00,5/1/14 0:00,web developer,software engineer,UX/UI Design,Pune,m,2/25/90 0:00,50,state board,2008,62,state board,8203,2,B.Tech/B.E.,computer science,55,8203,0,Maharashtra,2014,570,425,405,0,0,0,0,0,0,0,0,-0.0154,-0.1206,-0.2974,-0.6147,-0.4776
678842,240000.00,9/1/13 0:00,,hr generalist,hr,HR,NCR,m,7/20/89 0:00,65.5,state board,2007,66,state board,1875,2,B.Tech/B.E.,computer science,68.58,1875,0,Uttar Pradesh,2011,675,580,515,0,0,0,0,0,0,0,0,0.1282,-0.2871,-0.2974,-0.1076,-0.4776
693253,330000.00,12/1/13 0:00,4/1/14 0:00,project engineer,project engineer,Engineering,,m,8/5/92 0:00,62,state board,2009,62,state board,272,2,B.Tech/B.E.,civil engineering,70.49,272,0,Punjab,2013,380,415,530,0.202731593,0,0,0,0,0,0,277,-1.1644,-1.6191,-0.2974,0.9066,-0.4776
920413,50000.00,3/1/14 0:00,9/1/14 0:00,software developer,software engineer,Engineering,Lucknow,m,10/1/90 0:00,68.6,state board,2007,62.6,state board,55,2,MCA,computer application,74.95,55,0,Uttar Pradesh,2014,325,435,340,0,0,0,0,0,0,0,0,-0.3027,-1.4526,-0.2974,1.6672,0.8637
480210,425000.00,4/1/13 0:00,,senior systems engineer,senior software engineer,Engineering,Pune,m,9/17/90 0:00,83,icse,2008,64,cbse,2253,2,B.Tech/B.E.,information technology,72,2253,0,Orissa,2012,675,455,515,0,0,0,0,0,0,0,0,0.2009,1.1248,-0.1988,-0.2902,-0.169
302031,270000.00,1/1/13 0:00,10/1/13 0:00,network engineer,network engineer,Engineering,Mysore,m,10/15/88 0:00,60.4,cbse,2006,60,cbse,75,2,B.Tech/B.E.,electronics engineering,62,75,0,Uttar Pradesh,2010,395,425,395,0.655766943,0,0,0,0,0,366,0,-0.2628,0.3448,-0.1988,0.5323,0.6603
435389,240000.00,9/1/12 0:00,11/1/13 0:00,application engineer,software engineer,Engineering,Mumbai,m,7/18/91 0:00,57,,2008,49,,11982,2,B.Tech/B.E.,computer science,65,11982,0,Orissa,2012,355,395,255,0,0,0,0,0,0,0,0,-1.3447,0.6178,-0.1626,1.1199,-0.9194
678819,200000.00,5/1/13 0:00,7/1/13 0:00,sales executive,sales executive,Sales,NCR,m,1/10/83 0:00,68,cbse,2002,61,state board,2819,2,B.Tech/B.E.,biomedical engineering,64,2819,0,Uttar Pradesh,2011,520,610,515,0,0,0,0,0,0,0,0,0.5591,1.5444,-0.1437,-1.5021,-0.4776
622548,300000.00,9/1/13 0:00,4/1/15 0:00,account executive,account executive,Business,NCR,f,9/26/89 0:00,72,icse,2008,62,cbse,272,2,B.Tech/B.E.,computer science,72.18,272,0,Punjab,2012,500,470,445,0,0,0,0,0,0,0,0,0.1282,-0.4536,-0.1437,-0.6147,-0.4776
1218505,105000.00,9/1/14 0:00,3/1/15 0:00,android developer,software engineer,Engineering,Indore,f,4/18/91 0:00,84.4,state board,2009,79.8,state board,5722,2,B.Tech/B.E.,electronics engineering,75.15,5722,0,Madhya Pradesh,2013,440,530,450,0,0,0,0,0,0,0,0,0.1282,0.2124,-0.1437,0.1459,0.4805
810998,300000.00,7/1/14 0:00,,engineer,engineer,Engineering,NCR,m,1/1/92 0:00,86.4,cbse,2010,79.8,cbse,64,2,B.Tech/B.E.,civil engineering,72.5,64,0,Uttar Pradesh,2014,675,495,445,0.799848205,0,0,0,0,0,0,420,-1.4517,-1.4526,-0.1437,0.7798,-2.7769
344614,470000.00,10/1/12 0:00,,system engineer,system engineer,Engineering,Banagalore,m,8/13/89 0:00,80.67,,2007,75.67,,124,2,B.Tech/B.E.,information technology,81.4,124,0,Orissa,2012,515,365,535,0,0,0,0,0,0,0,0,0.626,-0.1232,-0.0537,-0.17277,-0.6035
262768,215000.00,3/1/14 0:00,4/1/15 0:00,environmental engineer,environmental engineer,Engineering,NCR,m,12/24/89 0:00,83.6,,2006,79.6,,11025,2,B.Tech/B.E.,biomedical engineering,87.6,11025,0,Uttar Pradesh,2011,605,515,445,0,0,0,0,0,0,0,0,0.3555,0.8128,-0.0537,1.9424,0.1864
618243,320000.00,6/1/13 0:00,,project engineer,project engineer,Engineering,Jaipur,m,9/14/91 0:00,87.4,cbse,2009,85.6,cbse,12906,2,B.Tech/B.E.,civil engineering,80.3,12906,0,Madhya Pradesh,2013,605,605,745,0.679644641,0,0,0,0,0,0,388,0.5591,-0.6201,0.01,-1.1218,-2.5853
1193152,300000.00,4/1/15 0:00,,programmer analyst,programmer analyst,Tech,Chennai,m,11/13/92 0:00,68.6,cbse,2010,64.8,cbse,1155,2,B.Tech/B.E.,electronics engineering,60.3,1155,0,Uttar Pradesh,2014,535,555,560,0,0,0,0,0,0,0,0,1.2772,-0.1206,0.01,-0.6147,-0.8608
1233826,330000.00,6/1/15 0:00,,technical engineer,technical engineer,Engineering,Pune,m,1/24/93 0:00,76,state board,2009,89.8,state board,272,2,B.Tech/B.E.,computer science,62,272,0,Punjab,2015,595,530,630,0,0,0,0,0,0,0,0,0.5591,0.7119,0.01,-0.2344,0.8637
622495,325000.00,7/1/13 0:00,,assistant manager,assistant manager,Management,Ludhiana,m,12/26/90 0:00,81.9,cbse,2008,72,cbse,272,2,B.Tech/B.E.,information technology,71.9,272,0,Punjab,2012,465,415,485,0,0,0,0,0,0,0,0,-1.308,-0.4536,0.01,0.1459,-1.0524
918908,240000.00,10/1/14 0:00,8/1/14 0:00,business development manager,business development manager,Business,NCR,f,1/10/95 0:00,60,state board,2010,73,state board,6408,2,B.Tech/B.E.,electronics engineering,75.16,6408,0,Uttar Pradesh,2014,450,555,500,0,0,0,0,0,0,0,0,1.2772,-1.1196,0.01,0.9066,0.4805
344572,470000.00,10/1/12 0:00,5/1/15 0:00,system engineer,system engineer,Engineering,Hyderabad,m,2/23/91 0:00,88,,2008,78,,124,2,B.Tech/B.E.,computer science,80,124,0,Orissa,2012,315,455,635,0,0,0,0,0,0,0,0,-1.6538,0.3838,0.0552,1.23733,0.0284
295290,145000.00,8/1/12 0:00,12/1/13 0:00,hr executive,hr,HR,Lucknow,f,1/1/89 0:00,54.6,state board,2005,61.4,state board,2819,2,B.Tech/B.E.,biomedical engineering,70.86,2819,0,Uttar Pradesh,2012,405,495,355,0,0,0,0,0,0,0,0,-0.1082,0.1888,0.0914,-0.5253,0.1864
1284153,225000.00,4/1/14 0:00,8/1/14 0:00,assistant engineer,assistant engineer,Engineering,Dehradun,m,9/16/93 0:00,73,cbse,2011,70,cbse,6874,2,B.Tech/B.E.,civil engineering,66.2,6874,0,Uttarakhand,2015,395,580,505,0.887903317,0,0,0,0,0,0,452,0.5591,0.7119,0.1637,-1.7556,1.247
988953,310000.00,6/1/14 0:00,,assistant engineer,assistant engineer,Engineering,Mumbai,m,4/2/92 0:00,77.2,cbse,2010,80,cbse,137,2,B.Tech/B.E.,civil engineering,75.58,137,0,Uttar Pradesh,2014,535,520,525,0.255778194,0,0,0,0,0,0,292,0.4155,-0.0873,0.1637,-1.7556,0.167
909112,190000.00,6/1/13 0:00,8/1/14 0:00,telecom engineer,telecom engineer,Engineering,NCR,m,8/10/90 0:00,65,state board,2007,64,state board,15349,2,B.Tech/B.E.,electronics engineering,72.14,15349,0,Uttar Pradesh,2013,500,500,370,0.655766943,0,0,0,0,0,366,0,1.5644,0.5454,0.1637,-1.6289,1.0554
1097251,325000.00,10/1/13 0:00,12/1/13 0:00,system engineer,system engineer,Engineering,Mysore,m,12/27/89 0:00,76.2,cbse,2009,67.6,cbse,6739,2,B.Tech/B.E.,computer science,62.37,6739,0,Haryana,2013,455,505,330,0,0,0,0,0,0,0,0,1.2772,1.0449,0.1637,-0.7415,0.2889
639696,275000.00,11/1/13 0:00,,graduate engineer trainee,trainee graduate engineer,Engineering,NCR,f,12/12/91 0:00,81,cbse,2009,76,cbse,350,2,B.Tech/B.E.,information technology,77.34,350,0,Uttar Pradesh,2013,440,535,485,0.282788145,0,0,0,0,0,0,0,-0.3027,-0.1206,0.1637,0.1459,0.2889
942851,500000.00,6/1/14 0:00,4/1/15 0:00,assistant manager,assistant manager,Management,,m,2/13/90 0:00,82.8,icse,2008,77.8,icse,272,2,B.Tech/B.E.,computer science,63,272,0,Punjab,2013,695,640,280,0,0,0,0,0,0,0,0,-1.3742,0.4934,0.2113,-0.3414,0.1275
480350,405000.00,8/1/14 0:00,,assistant manager,assistant manager,Management,Hubli,m,7/11/90 0:00,75,,2007,70,,2253,2,B.Tech/B.E.,electronics engineering,60.6,2253,0,Orissa,2012,585,464,525,0,0,0,0,0,0,0,0,0.8192,0.0328,0.2366,-1.8179,-0.643
318959,360000.00,8/1/13 0:00,,software engineer,software engineer,Engineering,Banagalore,m,7/21/91 0:00,84,state board,2008,82,state board,5068,2,B.Tech/B.E.,electronics engineering,77.5,5068,0,Andhra Pradesh,2015,725,435,615,0,0,0,0,0,0,0,0,0.6646,1.4368,0.2366,-0.29027,0.8973
